JBoss Community,https://summerofcode.withgoogle.com/archive/2020/organizations/6073291866898432/,"java,golang,react"
JdeRobot - Universidad Rey Juan Carlos,https://summerofcode.withgoogle.com/archive/2020/organizations/6129466817904640/,"ros,gazebo,python,c/c++,opencv"
Jenkins project,https://summerofcode.withgoogle.com/archive/2020/organizations/5087283272744960/,"java,javascript,docker,kubernetes,go"
Kodi Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6555254004383744/,"ffmpeg,python,c++,sqlite,mysql"
Kubeflow,https://summerofcode.withgoogle.com/archive/2020/organizations/5374310232883200/,"python,jupyter notebook,tensorflow,kustomize,kubernetes"
Libre Space Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6184201612689408/,"python,django,sdr,embedded,space applications"
LibreHealth,https://summerofcode.withgoogle.com/archive/2020/organizations/5842452507787264/,"java,javascript,python 3,android,php"
LibreOffice,https://summerofcode.withgoogle.com/archive/2020/organizations/6094595844210688/,"c++,python,java"
libvirt,https://summerofcode.withgoogle.com/archive/2020/organizations/5067783886340096/,"kvm,xen,hypervisor,c,python"
Liquid Galaxy project,https://summerofcode.withgoogle.com/archive/2020/organizations/6406567974404096/,"python,vue,html,javascript,java"
lowRISC,https://summerofcode.withgoogle.com/archive/2020/organizations/6088258989064192/,"systemverilog,c++,fpga,python,risc-v"
MacPorts,https://summerofcode.withgoogle.com/archive/2020/organizations/4588406077652992/,"tcl,c,python,scripting,buildbot"
MariaDB Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5950846174494720/,"mariadb,mysql,c,c++,java"
Matrix,https://summerofcode.withgoogle.com/archive/2020/organizations/6400769936326656/,"python,javascript,rust,go,react"
MBDyn,https://summerofcode.withgoogle.com/archive/2020/organizations/4670622791106560/,"c++,python"
MDAnalysis,https://summerofcode.withgoogle.com/archive/2020/organizations/5997649305534464/,"python,cython,numpy,c/c++"
MetaBrainz Foundation Inc.,https://summerofcode.withgoogle.com/archive/2020/organizations/5387896221073408/,"python,postgres,solr,perl,spark"
Metasploit,https://summerofcode.withgoogle.com/archive/2020/organizations/4999193090850816/,"ruby,postgresql,python,c,assembly"
MGGG Redistricting Lab,https://summerofcode.withgoogle.com/archive/2020/organizations/4721222438354944/,"python,javascript,gis,julia,mapping"
MIT App Inventor,https://summerofcode.withgoogle.com/archive/2020/organizations/6125092997693440/,"javascript,java,google web toolkit,android,junit"
mlpack,https://summerofcode.withgoogle.com/archive/2020/organizations/5279502554365952/,"c++,python,templates,machine learning,deep learning"
Mozilla,https://summerofcode.withgoogle.com/archive/2020/organizations/5169365365817344/,"javascript,rust,html5,web development,python"
mypy,https://summerofcode.withgoogle.com/archive/2020/organizations/5440234189225984/,python
MZmine,https://summerofcode.withgoogle.com/archive/2020/organizations/6328123651522560/,"java,javafx"
National Resource for Network Biology (NRNB),https://summerofcode.withgoogle.com/archive/2020/organizations/4549302816342016/,"java,javascript,python,r,rest"
Netty,https://summerofcode.withgoogle.com/archive/2020/organizations/5983819074633728/,"java,jni,c"
NumFOCUS,https://summerofcode.withgoogle.com/archive/2020/organizations/6692416771325952/,"python,c/c++,javascript,r,julia"
